a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
709,conduit_parking_2,0 900,parking_lane_1,,,,,,,,,,,,,,,,,,,,,
710,conduit_rooftop_1,0 900,rooftop_lane_1,,,,,,,,,,,,,,,,,,,,,
711,conduit_rooftop_2,0 900,rooftop_lane_1,,,,,,,,,,,,,,,,,,,,,
712,ancestor_left,0 900,main_base_lane_1,,,,,,,,,,,,,,,,,,,,,
713,ancestor_middle,0 900,main_base_lane_2,,,,,,,,,,,,,,,,,,,,,
714,ancestor_right,0 900,main_base_lane_3,,,,,,,,,,,,,,,,,,,,,
715,final_battle,0 900,main_base_lane_1 main_base_lane_2 main_base_lane_3,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,
